period,time,system_price_jpy_kwh,price_usd_mwh
1,00:00,10.19,71.33
2,00:30,9.08,63.56
3,01:00,8.92,62.44
4,01:30,8.8,61.60000000000001
5,02:00,8.56,59.92
6,02:30,8.78,61.459999999999994
7,03:00,8.56,59.92
8,03:30,8.56,59.92
9,04:00,8.5,59.5
10,04:30,8.26,57.82
11,05:00,8.5,59.5
12,05:30,8.41,58.870000000000005
13,06:00,9.05,63.35000000000001
14,06:30,9.05,63.35000000000001
15,07:00,8.92,62.44
16,07:30,9.3,65.10000000000001
17,08:00,9.5,66.5
18,08:30,10.0,70.0
19,09:00,9.74,68.18
20,09:30,9.83,68.81
21,10:00,9.74,68.18
22,10:30,9.7,67.89999999999999
23,11:00,9.6,67.2
24,11:30,9.35,65.45
25,12:00,9.34,65.38
26,12:30,9.8,68.60000000000001
27,13:00,10.0,70.0
28,13:30,9.89,69.23
29,14:00,10.36,72.52
30,14:30,10.8,75.60000000000001
31,15:00,11.33,79.31
32,15:30,11.67,81.69
33,16:00,13.37,93.58999999999999
34,16:30,14.0,98.0
35,17:00,14.0,98.0
36,17:30,14.08,98.56
37,18:00,15.57,108.99000000000001
38,18:30,15.21,106.47
39,19:00,15.0,105.0
40,19:30,14.23,99.61
41,20:00,13.34,93.38
42,20:30,11.75,82.25
43,21:00,10.45,73.14999999999999
44,21:30,10.31,72.17
45,22:00,10.12,70.83999999999999
46,22:30,10.0,70.0
47,23:00,9.95,69.64999999999999
48,23:30,9.3,65.10000000000001
